name,kind,released,venue,status,scope,year,url,paper,code,license,scale,tasks,modalities
Universal Manipulation Interface / UMI,toolkit,2024-02,RSS 2024,open,,2024,https://umi-gripper.github.io/,https://arxiv.org/abs/2402.10329,https://github.com/real-stanford/universal_manipulation_interface,MIT,"Hand-held GoPro gripper interface and policy stack for in-the-wild robot teaching, including example and cup-arrangement data workflows",robot-learning; imitation-learning; cross-embodiment-transfer; bimanual-manipulation; data-collection,wrist-camera-video; imu; robot-actions
FastUMI,dataset,2024-09,arXiv,watch,,2024,https://arxiv.org/abs/2409.19499,https://arxiv.org/abs/2409.19499,,,"UMI redesign with a reported 10,000+ real-world demonstration trajectories across 22 everyday manipulation tasks",robot-learning; imitation-learning; manipulation; data-collection,wrist-camera-video; robot-actions
FastUMI-100K,dataset,2025-10,arXiv,open,,2025,https://huggingface.co/datasets/IPEC-COMMUNITY/FastUMI_100k_lerobot,https://arxiv.org/abs/2510.08022,https://github.com/MrKeee/FastUMI-100K,apache-2.0,"100K+ UMI-style demonstration trajectories across 54 household manipulation tasks, standardized in LeRobot v2.1 with multi-view wrist-mounted fisheye images",robot-learning; imitation-learning; cross-embodiment-transfer; bimanual-manipulation; data-collection,wrist-camera-video; robot-actions; language-instructions
MV-UMI,toolkit,2025-09,arXiv,watch,,2025,https://arxiv.org/abs/2509.18757,https://arxiv.org/abs/2509.18757,,,"Multi-view Universal Manipulation Interface adding third-person context to the egocentric wrist camera, evaluated across three manipulation tasks",robot-learning; imitation-learning; cross-embodiment-transfer; manipulation; data-collection,wrist-camera-video; third-person-video; robot-actions
UMIGen,model,2025-11,arXiv,watch,,2025,https://arxiv.org/abs/2511.09302,https://arxiv.org/abs/2511.09302,,,Cloud-UMI handheld collection and visibility-aware point-cloud generation for egocentric 3D observations and cross-embodiment imitation learning,robot-learning; imitation-learning; cross-embodiment-transfer; 3d-reconstruction; data-collection,wrist-camera-video; point-clouds; robot-actions
Hoi!,dataset,2025-12,arXiv,watch,,2025,https://arxiv.org/abs/2512.04884,https://arxiv.org/abs/2512.04884,,,"3,048 force-grounded articulated-manipulation sequences over 381 objects and 38 environments, spanning human hand, wrist camera, UMI gripper, and Hoi gripper embodiments",robot-learning; imitation-learning; cross-embodiment-transfer; contact-understanding; hand-object,wrist-camera-video; robot-actions; contact; articulated-objects
YUBI,dataset,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.10244,https://arxiv.org/abs/2606.10244,,,"UMI-based bimanual dexterous manipulation stack with a reported 8,434 hours, 1.20M episodes, and 119 tasks",robot-learning; imitation-learning; cross-embodiment-transfer; bimanual-manipulation; dexterous-manipulation,wrist-camera-video; robot-actions; 6dof
Open X-Embodiment / RT-X,dataset,2023-10,ICRA 2024,open,adjacent,2023,https://robotics-transformer-x.github.io/,https://arxiv.org/abs/2310.08864,,cc-by-4.0,"1M+ real robot trajectories, 22 robot embodiments, 60 pooled robot datasets (robot-mounted and wrist cameras, not human first-person)",vla; robot-learning; cross-embodiment-transfer; imitation-learning; manipulation,robot-camera-video; wrist-camera-video; language-instructions; robot-actions; rlds
EgoLive,dataset,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.23570,https://arxiv.org/abs/2604.23570,,,Large-scale real-world task-oriented egocentric routines,robot-manipulation; real-world-routines,egocentric-video; multimodal-annotations
World In Your Hands,dataset,2025-12,arXiv,watch,,2025,https://arxiv.org/abs/2512.24310,https://arxiv.org/abs/2512.24310,,,"Reported 1,000+ hours of multimodal human-centric manipulation data",dexterous-manipulation; vla; human-centric-policy-learning,egocentric-video; multiview; depth; hand-pose; wrist-trajectory
InterVLA,dataset,2025-08,ICCV 2025,watch,,2025,https://arxiv.org/abs/2508.04681,https://arxiv.org/abs/2508.04681,,,"11.4 hours, 1.2M frames, 2 egocentric and 5 exocentric videos",vla; human-object-human-interaction; motion-estimation; interaction-prediction,egocentric-video; exocentric-video; human-motion; object-motion; verbal-commands
EgoPAT3D / EgoPAT3Dv2,dataset,2024-03,ICRA 2024,open,,2024,https://arxiv.org/abs/2403.05046,https://arxiv.org/abs/2403.05046,,,Original EgoPAT3D reports 1M+ RGB-D and IMU frames; v2 expands 3D action-target prediction,3d-action-target-prediction; hri; anticipation; manipulation-safety,rgb; depth; imu; 3d-target-labels
HOT3D,dataset,2024-06,CVPR 2025,open,,2024,https://facebookresearch.github.io/hot3d/,https://arxiv.org/abs/2406.09598,,CC BY-NC-SA 4.0,"833+ minutes, 3.7M+ images, 19 subjects, 33 objects",3d-hand-object-tracking; ar-vr; pose,aria; quest3; gaze; point-clouds; 3d-hand-pose; object-pose; camera-pose
HOI4D,dataset,2022-03,CVPR 2022,open,,2022,https://hoi4d.github.io/,https://arxiv.org/abs/2203.01577,,CC BY-NC 4.0,"2.4M RGB-D egocentric frames, 4,000+ sequences, 800 objects",4d-hoi; pose-tracking; action-segmentation,rgbd; point-clouds; 3d-hand-pose; object-pose; segmentation
H2O,dataset,2021-04,ICCV 2021,open,,2021,https://arxiv.org/abs/2104.11181,https://arxiv.org/abs/2104.11181,,,,first-person-interaction-recognition; two-hand-pose; hand-object-pose,multiview-rgbd; 3d-hand-pose; object-pose; camera-pose; object-meshes; scene-point-clouds
ARCTIC,dataset,2022-04,CVPR 2023,request,,2022,https://arctic.is.tue.mpg.de/,https://arxiv.org/abs/2204.13662,,,2.1M frames,bimanual-manipulation; reconstruction; interaction-field-estimation,video; hand-meshes; object-meshes; contact; articulated-objects
EgoHands,dataset,2015,ICCV 2015,open,,2015,http://vision.soic.indiana.edu/projects/egohands/,,,,"48 Google Glass videos, 4,800 annotated images",hand-detection; hand-segmentation,rgb; hand-masks
FPHA,dataset,2017,CVPR 2018,open,,2017,https://guiggh.github.io/publications/first-person-hands/,,,,"100K+ RGB-D frames, 45 action classes, 26 objects",hand-action-recognition; 3d-hand-pose,rgbd; 3d-hand-pose; object-pose
EgoHOS,dataset,2022-08,ECCV 2022,open,,2022,https://github.com/owenzlz/EgoHOS,https://arxiv.org/abs/2208.03826,,,"11,243 egocentric images",hand-object-segmentation; contact-understanding,rgb; hand-object-contact-masks
Ego2Hands,dataset,2020-11,arXiv,open,,2020,https://arxiv.org/abs/2011.07252,https://arxiv.org/abs/2011.07252,,,,two-hand-segmentation; hand-detection,rgb; synthetic-composited-masks
Ego2HandsPose,dataset,2022-06,arXiv,open,,2022,https://arxiv.org/abs/2206.04927,https://arxiv.org/abs/2206.04927,,,,two-hand-3d-pose,rgb; 3d-hand-pose
EgoBody,dataset,2022,ECCV 2022,open,,2022,https://sanweiliti.github.io/egobody/egobody.html,,,,,3d-human-pose; body-shape; motion,hololens2; rgb; depth; gaze; head-pose; hand-pose; body-pose
GIMO,dataset,2022-04,ECCV 2022,open,,2022,https://github.com/y-zheng18/GIMO,https://arxiv.org/abs/2204.09443,,,,gaze-informed-motion-prediction; human-motion; scene-context,egocentric-video; gaze; body-pose; scene-scans
EgoHumans,benchmark,2023-05,ICCV 2023,partial,,2023,https://arxiv.org/abs/2305.16487,https://arxiv.org/abs/2305.16487,,,125K+ egocentric images,multi-human-tracking; 3d-pose; mesh-recovery,egocentric-video; multiview-video; 2d-pose; 3d-pose; mesh
UnrealEgo,dataset,2022-08,ECCV 2022,open,,2022,https://4dqv.mpi-inf.mpg.de/UnrealEgo/,https://arxiv.org/abs/2208.01633,,,,egocentric-3d-pose,synthetic-stereo; 3d-human-pose
xR-EgoPose,dataset,2019,GitHub,open,,2019,https://github.com/facebookresearch/xR-EgoPose,,,,,xr-pose-estimation,synthetic-egocentric; 3d-human-pose
EgoGTA / EgoPW-Scene,dataset,2022-12,arXiv,partial,,2022,https://arxiv.org/abs/2212.11684,https://arxiv.org/abs/2212.11684,,,,scene-aware-3d-human-pose; egocentric-depth; human-scene-interaction,synthetic-egocentric; scene-depth; human-pose
EgoTracks,benchmark,2023-01,NeurIPS 2023,open,,2023,https://arxiv.org/abs/2301.03213,https://arxiv.org/abs/2301.03213,,,,long-term-object-tracking; redetection,
TREK-150,benchmark,2021,project page,open,,2021,https://machinelearning.uniud.it/datasets/trek150/,,,,,single-object-tracking,
Project Aria Datasets,collection,2022,project page,open,,,https://www.projectaria.com/datasets/,,,,,ar-perception; scene-understanding; wearable-sensing,aria; vrs; calibration; gaze; imu; mps
Aria Digital Twin,dataset,2023-06,arXiv,open,,2023,https://www.projectaria.com/datasets/adt/,https://arxiv.org/abs/2306.06362,,CC BY-NC-SA 4.0,"200 sequences, 398 object instances",3d-machine-perception; object-tracking; scene-reconstruction,aria; rgb; monochrome; imu; 6dof; depth; segmentation; synthetic-rendering
Aria Everyday Activities,dataset,2024-02,arXiv,open,,2024,https://www.projectaria.com/datasets/aea/,https://arxiv.org/abs/2402.13349,,CC BY-NC-SA 4.0,143 daily activity sequences across five indoor locations,everyday-activity; neural-scene-reconstruction; prompted-segmentation,aria; trajectory; point-cloud; gaze; speech
Nymeria,dataset,2024-06,ECCV 2024,open,,2024,https://www.projectaria.com/datasets/nymeria/,https://arxiv.org/abs/2406.09905,,CC BY-NC-SA 4.0,"300 hours, 264 participants, 50 locations",motion-language; body-tracking; action-recognition,aria; eye-tracking; imu; body-motion; language; observer-view
Digital Twin Catalog,dataset,2025-04,CVPR 2025,open,,2025,https://www.projectaria.com/datasets/dtc/,https://arxiv.org/abs/2504.08541,,,"2,000 scanned digital-twin objects",object-reconstruction; digital-twin-evaluation,3d-objects; dslr-images; aria-images
EgoLife,dataset,2025-03,CVPR 2025,partial,,2025,https://arxiv.org/abs/2503.03803,https://arxiv.org/abs/2503.03803,,,"300 hours, 6 participants, one week daily life",life-assistant; long-context-qa; memory,meta-aria; video; audio; third-person-reference; qa
Ego-EXTRA,dataset,2025-12,arXiv,open,,2025,https://fpv-iplab.github.io/Ego-EXTRA/,https://arxiv.org/abs/2512.13238,,,"50 hours, 15K+ VQA pairs",expert-trainee-assistance; egocentric-vqa,video; dialogue; qa
EgoSchema,benchmark,2023-08,NeurIPS 2023,open,,2023,http://egoschema.github.io/,https://arxiv.org/abs/2308.09126,https://github.com/egoschema/EgoSchema,,"5K+ multiple-choice QA pairs, 250+ hours",long-video-qa; temporal-reasoning,
X-LeBench,benchmark,2025-01,arXiv,watch,,2025,https://arxiv.org/abs/2501.06835,https://arxiv.org/abs/2501.06835,,,"432 simulated life logs, 23 minutes to 16.4 hours",extremely-long-video-understanding; lifelogging; long-context-qa,
TeleEgo,benchmark,2025-10,arXiv,watch,,2025,https://arxiv.org/abs/2510.23981,https://arxiv.org/abs/2510.23981,,,"3,291 human-verified QA items in streaming setting",streaming-assistant; memory; real-time-understanding; cross-memory-reasoning,egocentric-video; audio; text; timeline
EgoMemReason,benchmark,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.09874,https://arxiv.org/abs/2605.09874,,,"500 questions across entity, event, and behavior memory; average 25.9 hours of memory backtracking",long-horizon-memory; entity-memory; event-memory; behavior-memory; egocentric-video-reasoning,
EgoClip,dataset,2022-06,NeurIPS 2022,open,,2022,https://github.com/showlab/EgoVLP,https://arxiv.org/abs/2206.01670,,,3.8M clip-text pairs,video-language-pretraining; retrieval,
RefEgo,benchmark,2023-08,ICCV 2023,open,,2023,https://github.com/shuheikurita/RefEgo,https://arxiv.org/abs/2308.12035,,,12K+ clips and 41 hours for video-based referring-expression comprehension,referring-expression-comprehension; object-grounding; referred-object-tracking,
EgoBench,benchmark,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.27820,https://arxiv.org/abs/2605.27820,,,"1,045 egocentric-video-grounded interactive tasks",tool-using-agents; multimodal-reasoning; interaction,
EgoIntrospect,dataset,2026-05,arXiv,watch,,2026,https://ego-introspect.github.io/,https://arxiv.org/abs/2605.17262,,,"180 hours, 60 subjects",internal-state-reasoning; affect; intent; memory,video; audio; gaze; motion; physiological-signals; self-annotations
Minerva-Ego,benchmark,2025-05,arXiv,open,adjacent,2025,https://github.com/google-deepmind/neptune,https://arxiv.org/abs/2505.00681,,,Part of the Neptune / MINERVA long-video reasoning collection over web (YouTube) videos with manually annotated reasoning traces,multistep-reasoning; long-video-qa; reasoning-traces,
MA-EgoQA,benchmark,2026-03,arXiv,open,,2026,https://ma-egoqa.github.io/,https://arxiv.org/abs/2603.09827,,,1.7K questions over multiple egocentric streams,multi-agent-memory; social-reasoning; temporal-reasoning,
EASG-Bench,benchmark,2025-06,ICCV 2025 Workshop,open,,2025,https://github.com/fpv-iplab/EASG-bench,https://arxiv.org/abs/2506.05787,,,,scene-graph-qa; relation-reasoning; temporal-reasoning,
MyEgo,benchmark,2026-04,CVPR 2026,open,,2026,https://github.com/Ryougetsu3606/MyEgo,https://arxiv.org/abs/2604.01966,,,"541 long videos, 5K personalized questions",personalized-qa; ego-grounding; long-range-memory,
EgoToM,benchmark,2025-03,arXiv,watch,,2025,https://arxiv.org/abs/2503.22152,https://arxiv.org/abs/2503.22152,,,,theory-of-mind; goal-reasoning; belief-reasoning; next-action,
EgoSound,benchmark,2026-02,CVPR 2026,watch,,2026,https://arxiv.org/abs/2602.14122,https://arxiv.org/abs/2602.14122,,,"7,315 validated QA pairs across 900 videos",sound-understanding; audio-visual-reasoning; spatial-localization; causal-reasoning,
EgoEsportsQA,benchmark,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.12320,https://arxiv.org/abs/2604.12320,,,"1,745 QA pairs from professional matches across three first-person shooter games",first-person-qa; virtual-egocentric-reasoning; esports-perception; tactical-reasoning,first-person-video; qa
Causal-Plan-1M,benchmark,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.01810,https://arxiv.org/abs/2606.01810,,,Million-scale explicit reasoning traces over egocentric videos,causal-reasoning; planning; next-state-estimation,
AssistQ,benchmark,2022-03,ECCV 2022,open,,2022,https://showlab.github.io/assistq/,https://arxiv.org/abs/2203.04203,,,531 QA samples from 100 instructional videos,task-assistance; affordance-centric-qa; action-planning,
EgoTaskQA,benchmark,2022-10,NeurIPS 2022,benchmark,,2022,https://arxiv.org/abs/2210.03929,https://arxiv.org/abs/2210.03929,,,,task-understanding; causal-reasoning; counterfactual-qa; belief-reasoning,
HowToDIV,dataset,2025-08,arXiv,watch,,2025,https://arxiv.org/abs/2508.11192,https://arxiv.org/abs/2508.11192,,,"507 conversations, 6,636 QA pairs, 24 hours",procedural-task-assistance; instructional-dialogue; egocentric-qa,egocentric-video; dialogue; qa
EgoThink,benchmark,2023-11,CVPR 2024,benchmark,,2023,https://arxiv.org/abs/2311.15596,https://arxiv.org/abs/2311.15596,,,,first-person-vqa; vlm-evaluation; embodied-reasoning,
VidEgoThink,benchmark,2024-10,ICLR 2025,benchmark,,2024,https://arxiv.org/abs/2410.11623,https://arxiv.org/abs/2410.11623,,,,video-qa; hierarchy-planning; visual-grounding; reward-modeling,
EgoCoT-Bench,benchmark,2026-05,arXiv,open,,2026,https://dstardust.github.io/EgoCoT/,https://arxiv.org/abs/2605.19559,,,"3,172 QA pairs over 351 egocentric videos",grounded-cot; operation-centric-reasoning; evidence-consistency,
NoRA,benchmark,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.04806,https://arxiv.org/abs/2606.04806,,,"1,420 first-person video clips",normative-action-reasoning; grounded-reasonableness; safety,
Ego2Web,benchmark,2026-03,CVPR 2026,watch,,2026,https://arxiv.org/abs/2603.22529,https://arxiv.org/abs/2603.22529,,,,web-agents; egocentric-grounding; physical-digital-assistance,
Pause and Think,benchmark,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.00616,https://arxiv.org/abs/2606.00616,,,,assistive-action-suggestion; grounded-reasoning; temporal-consistency,
Ego-R1,benchmark,2025-06,arXiv,watch,,2025,https://arxiv.org/abs/2506.13654,https://arxiv.org/abs/2506.13654,,,"Ego-CoTT-25K, Ego-QA-4.4K, and Ego-R1 Bench",ultra-long-video-qa; chain-of-tool-thought; temporal-retrieval,
EgoTrigger / HME-QA,benchmark,2025-08,ISMAR 2025 / TVCG,watch,,2025,https://arxiv.org/abs/2508.01915,https://arxiv.org/abs/2508.01915,,,340 human-annotated first-person QA pairs from full-length Ego4D videos curated for audio,memory-assistance; audio-triggered-capture; energy-efficient-smart-glasses; episodic-memory,first-person-video; audio; qa
GTEA / GTEA Gaze / EGTEA Gaze+,dataset,2018,project page,open,,,https://cbs.ic.gatech.edu/fpv/,,,,,action-recognition; gaze; hand-object,video; gaze; action-labels
Charades-Ego,dataset,2018-04,CVPR 2018,open,,2018,https://prior.allenai.org/projects/charades,https://arxiv.org/abs/1804.09626,,,"68.8 hours, 68,536 activity instances",action-recognition; localization; captioning; domain-transfer,first-person-video; third-person-video; descriptions
MECCANO,dataset,2020-10,WACV 2021,open,,2020,https://iplab.dmi.unict.it/MECCANO/,https://arxiv.org/abs/2010.05654,,,,ehoi; active-object-detection; action-recognition; anticipation,rgb; depth; gaze
EgoProceL,dataset,2022-07,ECCV 2022,open,,2022,https://sid2697.github.io/egoprocel/,https://arxiv.org/abs/2207.10883,,,"62 hours, 130 subjects, 16 tasks",procedure-learning; key-step-localization,
EGO-CH,dataset,2020-02,arXiv,partial,,2020,https://arxiv.org/abs/2002.00899,https://arxiv.org/abs/2002.00899,,,"27+ hours, 70 subjects, 2 cultural sites, 26 environments, 200+ points of interest",cultural-heritage; localization; object-recognition; retrieval; survey-prediction,egocentric-video; location-labels; poi-labels; surveys
EgoExoLearn,dataset,2024-03,CVPR 2024,open,,2024,https://github.com/OpenGVLab/EgoExoLearn,https://arxiv.org/abs/2403.16182,,,120 hours,cross-view-association; planning; skill-assessment,egocentric-video; demonstration-video; gaze; annotations
DogCentric,dataset,2014,project page,open,,,https://robotics.ait.kyushu-u.ac.jp/dog-centric-activity-dataset/,,,,,animal-activity-recognition,animal-egocentric-video
KrishnaCam / OAK,dataset,2021-08,ICCV 2021,partial,,2021,https://oakdata.github.io/,https://arxiv.org/abs/2108.11005,,,"OAK: 80 snippets, about 17.5 hours, 105 object categories from KrishnaCam",continual-learning; object-detection; lifelogging,egocentric-video; object-boxes
EgoK360,dataset,2020-10,arXiv,partial,,2020,https://egok360.github.io/,https://arxiv.org/abs/2010.08055,,,,360-video; activity-recognition,first-person-360-video; action-labels
EgoTraj,dataset,2026-05,arXiv,open,,2026,https://github.com/yehiahmad/EgoTraj,https://arxiv.org/abs/2605.19004,,,75 Meta Quest Pro navigation sequences,trajectory-prediction; navigation; assistive-systems,rgb; head-pose; gaze; scene-labels
VISOR,benchmark,2022,NeurIPS 2022,open,,2022,https://epic-kitchens.github.io/VISOR/,,,cc-by-nc-4.0,,hand-segmentation; active-object-segmentation; relations,
EPIC-Sounds,benchmark,2023,ICASSP 2023,open,,,https://epic-kitchens.github.io/epic-sounds/,,,,,audio-event-recognition,
EPIC-Fields,benchmark,2023,NeurIPS 2023,open,,,https://epic-kitchens.github.io/epic-fields/,,,,,3d-fields; spatial-reasoning,
EgoVLP,model,2022-06,NeurIPS 2022,open,,2022,https://github.com/showlab/EgoVLP,https://arxiv.org/abs/2206.01670,,,,video-language-pretraining; retrieval; ego4d-transfer,
EgoVLPv2,model,2023-07,ICCV 2023,open,,2023,https://shramanpramanick.github.io/EgoVLPv2/,https://arxiv.org/abs/2307.05463,,,,video-language-pretraining; cross-modal-fusion,
LaViLa,model,2022-12,CVPR 2023,open,,2022,https://arxiv.org/abs/2212.04501,https://arxiv.org/abs/2212.04501,,,,video-language-representation; narration-generation,
EgoNCE++,model,2024-05,ICLR 2025,open,,2024,https://github.com/xuboshen/EgoNCEpp,https://arxiv.org/abs/2405.17719,,,,open-vocabulary-hoi; video-language-pretraining,
EgoDTM,model,2025-03,arXiv,open,,2025,https://github.com/xuboshen/EgoDTM,https://arxiv.org/abs/2503.15470,,,,3d-aware-vlp; depth-text-pretraining,
EgoVLM,model,2025-06,arXiv,watch,,2025,https://arxiv.org/abs/2506.03097,https://arxiv.org/abs/2506.03097,,,,egocentric-video-reasoning; policy-optimization,
EgoGraph,model,2026-02,arXiv,watch,,2026,https://arxiv.org/abs/2602.23709,https://arxiv.org/abs/2602.23709,,,,temporal-knowledge-graph; ultra-long-video-qa,
Ropedia Xperience-10M Task Suite,benchmark,2026,Hugging Face,open,,2026,https://huggingface.co/spaces/cy0307/ropedia-xperience-10m-task-suite,,,,12 embodied-AI task contracts over one public Xperience-10M sample episode,task-design; sample-evaluation; multimodal-baselines; embodied-ai,video; audio; depth; camera-pose; hand-mocap; full-body-mocap; imu; language
Ropedia Xperience-10M Task Baselines,model,2026,Hugging Face,open,,2026,https://huggingface.co/cy0307/ropedia-xperience-10m-task-baselines,,,mit,"Public task definitions, baseline artifacts, metrics, and scale-up notes for Xperience-10M",baseline-evaluation; task-suite; multimodal-representation; qwen3-omni; cosmos,video; audio; depth; camera-pose; mocap; imu; language
GroundVQA,model,2023-12,CVPR 2024,open,,2023,https://github.com/Becomebright/GroundVQA,https://arxiv.org/abs/2312.06505,,,,long-video-qa; temporal-grounding; ego4d-nlq,
HiERO,model,2025-05,arXiv,watch,,2025,https://arxiv.org/abs/2505.12911,https://arxiv.org/abs/2505.12911,,,,hierarchical-activity-reasoning; egomcq; egonlq; procedure-learning,
EgoAgent,model,2025-02,arXiv,watch,,2025,https://arxiv.org/abs/2502.05857,https://arxiv.org/abs/2502.05857,,,,joint-predictive-agent; future-state-prediction; action-prediction,
StillFast,model,2023-04,arXiv,open,,2023,https://iplab.dmi.unict.it/stillfast/,https://arxiv.org/abs/2304.03959,,,,short-term-object-interaction-anticipation; next-active-object; ego4d,
CONE,model,2022-11,ECCV 2022 Workshop,watch,,2022,https://arxiv.org/abs/2211.08776,https://arxiv.org/abs/2211.08776,,,,natural-language-query; video-language-grounding; ego4d-nlq,
EgoHandTrajPred / USST,model,2023-07,ICCV 2023,open,,2023,https://actionlab-cv.github.io/EgoHandTrajPred,https://arxiv.org/abs/2307.08243,,,,3d-hand-trajectory-forecasting; anticipation; h2o; egopat3d,
Project Aria Tools,toolkit,2022,GitHub,open,,,https://github.com/facebookresearch/projectaria_tools,,,,,vrs-loading; calibration; mps; gaze; trajectory,
EPIC-KITCHENS action models,toolkit,2019,GitHub,open,,,https://github.com/epic-kitchens/action-models,,,,,action-recognition-baselines,
HOMIE-toolkit,toolkit,2026,GitHub,open,,2026,https://github.com/Ropedia/HOMIE-toolkit,,,MIT,,xperience-10m-loading; hdf5-annotations; visualization; rerun; calibration; depth; mocap; imu,
EgoCom / Ego audio-visual correspondence,dataset,2020,project page,open,,,http://vision.cs.utexas.edu/projects/ego_av_corr/,,,,Egocentric video with spatial audio for conversation and audio-visual correspondence tasks,foundation-video; video-language,
EasyCom,dataset,2021-07,arXiv,open,,2021,https://arxiv.org/abs/2107.04174,,,,AR glasses egocentric multi-channel audio and wide-FOV RGB for noisy conversations,foundation-video; video-language,
Look and Tell,dataset,2025-10,NeurIPS 2025 Workshop,watch,,2025,https://arxiv.org/abs/2510.22672,,,,"25 participants, Project Aria plus stationary cameras, gaze/speech/video, 3D reconstructions",foundation-video; video-language,
